Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
140040 Normandia;9646;6110;8917,,
140045 Pacaraima;-;6726;10375,,
140047 Rorainópolis;-;16393;23993,,
140050 São João da Baliza;8171;4942;6713,,
140060 São Luiz;8828;5291;6632,,
140070 Uiramutã;-;5540;8360,,
150010 Abaetetuba;99803;118959;140090,,
150013 Abel Figueiredo;-;5848;6725,,
150020 Acará;37042;51700;53042,,
150030 Afuá;19845;29175;34893,,
150034 Água Azul do Norte;-;21202;24589,,
150040 Alenquer;52736;41268;52443,,
150050 Almeirim;31390;32991;33399,,
150060 Altamira;68912;75098;98097,,
150070 Anajás;14120;17472;24661,,
150080 Ananindeua;87746;391969;470425,,
150085 Anapu;-;9208;20477,,
150090 Augusto Corrêa;30215;32638;40459,,
150095 Aurora do Pará;-;19559;26486,,
150100 Aveiro;10825;15388;15798,,
150110 Bagre;13805;13513;21797,,
150120 Baião;19997;20148;36715,,
150125 Bannach;-;3765;3391,,
150130 Barcarena;45836;62894;99583,,
150140 Belém;1239564;1276312;1385629,,
150145 Belterra;-;14429;16241,,
150150 Benevides;67727;34971;51339,,
150157 Bom Jesus do Tocantins;15831;12997;15213,,
150160 Bonito;8490;9768;13590,,
150170 Bragança;96537;93366;112694,,
150172 Brasil Novo;-;17122;15612,,
150175 Brejo Grande do Araguaia;11880;7416;7276,,
150178 Breu Branco;-;31712;52286,,
150180 Breves;71891;79124;92102,,
150190 Bujaru;13991;20839;25617,,
150200 Cachoeira do Arari;13214;15745;20341,,
150195 Cachoeira do Piriá;-;15280;26381,,
150210 Cametá;85065;97436;120684,,
150215 Canaã dos Carajás;-;10855;26564,,
150220 Capanema;51077;56942;63268,,
150230 Capitão Poço;45304;49459;51648,,
150240 Castanhal;101696;133759;172250,,
150250 Chaves;17295;16938;20921,,
150260 Colares;8267;10598;11325,,
150270 Conceição do Araguaia;54541;42525;45360,,
150275 Concórdia do Pará;15145;20637;28014,,
150276 Cumaru do Norte;-;4887;9936,,
150277 Curionópolis;37927;18978;18241,,
150280 Curralinho;15161;19841;27770,,
150285 Curuá;-;9195;12239,,
150290 Curuçá;25674;26012;34262,,
150293 Dom Eliseu;24109;38838;50827,,
150295 Eldorado do Carajás;-;29159;30950,,
150300 Faro;13563;8835;8145,,
150304 Floresta do Araguaia;-;14204;17725,,
150307 Garrafão do Norte;20338;23502;24942,,
150309 Goianésia do Pará;-;22451;30311,,
150310 Gurupá;18850;22808;28953,,
150320 Igarapé-Açu;27066;32217;35773,,
150330 Igarapé-Miri;41485;52387;57732,,
150340 Inhangapi;6576;7527;10025,,
150345 Ipixuna do Pará;-;24794;51163,,
150350 Irituia;31049;30317;31289,,
150360 Itaituba;107053;92485;95519,,
150370 Itupiranga;36957;48700;50708,,
150375 Jacareacanga;-;19589;12118,,
150380 Jacundá;42706;40388;51026,,
150390 Juruti;23134;31185;46204,,
150400 Limoeiro do Ajuru;16430;19517;25005,,
150405 Mãe do Rio;29031;25241;27800,,
150410 Magalhães Barata;7222;7662;8096,,
150420 Marabá;122571;166169;231824,,
150430 Maracanã;25500;27330;28220,,
150440 Marapanim;19843;24127;26504,,
150442 Marituba;-;73640;107490,,
150445 Medicilândia;29408;20826;27113,,
150450 Melgaço;14295;20785;24743,,
150460 Mocajuba;18428;20460;26622,,
150470 Moju;44237;52270;69396,,
150480 Monte Alegre;46728;61148;55229,,
