Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
241030 Serra Caiada;5991;6973;8751,,
241330 Serra de São Bento;6292;5857;5741,,
241335 Serra do Mel;7990;8201;10189,,
241340 Serra Negra do Norte;7468;7533;7750,,
241350 Serrinha;6680;7210;6552,,
241355 Serrinha dos Pintos;-;4288;4539,,
241360 Severiano Melo;10389;10398;5735,,
241370 Sítio Novo;4586;4438;5019,,
241380 Taboleiro Grande;2067;2029;2317,,
241390 Taipu;10424;11510;11798,,
241400 Tangará;10203;12075;14078,,
241410 Tenente Ananias;9524;8845;9881,,
241415 Tenente Laurentino Cruz;-;4399;5401,,
241105 Tibau;-;3130;3634,,
241420 Tibau do Sul;5922;7612;11320,,
241430 Timbaúba dos Batistas;1935;2185;2288,,
241440 Touros;26931;27547;31009,,
241445 Triunfo Potiguar;-;3617;3352,,
241450 Umarizal;11073;11073;10626,,
241460 Upanema;8637;10937;12966,,
241470 Várzea;8529;8225;5230,,
241475 Venha-Ver;-;3401;3817,,
241480 Vera Cruz;7955;8502;10639,,
241490 Viçosa;1302;1515;1618,,
241500 Vila Flor;2291;2519;2861,,
250010 Água Branca;8198;8363;9441,,
250020 Aguiar;7249;5628;5525,,
250030 Alagoa Grande;30048;29101;28437,,
250040 Alagoa Nova;22278;18569;19672,,
250050 Alagoinha;11010;11794;13517,,
250053 Alcantil;-;4912;5235,,
250057 Algodão de Jandaíra;-;2208;2359,,
250060 Alhandra;13211;15709;17922,,
250073 Amparo;-;1880;2088,,
250077 Aparecida;-;5873;7665,,
250080 Araçagi;18364;18051;17185,,
250090 Arara;9626;11494;12619,,
250100 Araruna;17832;16568;18811,,
250110 Areia;28060;25979;23744,,
250115 Areia de Baraúnas;-;1875;1926,,
250120 Areial;6064;6009;6436,,
250130 Aroeiras;28755;19446;19032,,
250135 Assunção;-;2935;3513,,
250140 Baía da Traição;5331;6206;7988,,
250150 Bananeiras;23138;21745;21780,,
250153 Baraúna;-;3123;4220,,
250160 Barra de Santa Rosa;16981;13010;14127,,
250157 Barra de Santana;-;8304;8184,,
250170 Barra de São Miguel;4986;5152;5602,,
250180 Bayeux;77213;87327;99557,,
250190 Belém;15609;16582;17022,,
250200 Belém do Brejo do Cruz;8102;6990;7121,,
250205 Bernardino Batista;-;2559;3057,,
250210 Boa Ventura;5970;6561;5742,,
250215 Boa Vista;-;4961;6199,,
250220 Bom Jesus;1734;2164;2399,,
250230 Bom Sucesso;6268;5273;5028,,
250240 Bonito de Santa Fé;8981;9148;10773,,
250250 Boqueirão;33188;15842;16854,,
250270 Borborema;4179;4703;5084,,
250280 Brejo do Cruz;13849;11850;13104,,
250290 Brejo dos Santos;6233;5943;6180,,
250300 Caaporã;14989;18277;20291,,
250310 Cabaceiras;6150;4231;5017,,
250320 Cabedelo;28730;42309;57027,,
250330 Cachoeira dos Índios;7315;7822;9526,,
250340 Cacimba de Areia;2898;3554;3548,,
250350 Cacimba de Dentro;17672;16767;16673,,
250355 Cacimbas;-;6953;6811,,
250360 Caiçara;10502;7268;7209,,
250370 Cajazeiras;51081;54520;58053,,
250375 Cajazeirinhas;-;2848;3022,,
250380 Caldas Brandão;4521;5123;5630,,
250390 Camalaú;5534;5413;5732,,
250400 Campina Grande;324623;353639;382655,,
250403 Capim;-;4176;5601,,
250407 Caraúbas;-;3356;3881,,
250410 Carrapateira;1872;2149;2372,,
250415 Casserengue;-;6544;7053,,
250420 Catingueira;5195;4735;4805,,
250430 Catolé do Rocha;25156;26551;28615,,
250435 Caturité;-;4170;4539,,
250440 Conceição;23197;17775;18239,,
250450 Condado;7385;6464;6523,,
250460 Conde;10321;16284;21278,,
250470 Congo;4325;4555;4685,,
250480 Coremas;14459;15093;15086,,
250485 Coxixola;-;1417;1770,,
250490 Cruz do Espírito Santo;12613;13910;16201,,
250500 Cubati;6269;6359;6855,,
250510 Cuité;23063;19883;19899,,
250523 Cuité de Mamanguape;-;6124;6198,,
250520 Cuitegi;6972;7238;6863,,
250527 Curral de Cima;-;5221;5206,,
250530 Curral Velho;2537;2533;2486,,
250535 Damião;-;3645;4899,,
250540 Desterro;12744;7660;7972,,
250560 Diamante;7355;6905;6616,,
250570 Dona Inês;9804;10214;10480,,
250580 Duas Estradas;7357;3809;3630,,
250590 Emas;3121;3055;3275,,
250600 Esperança;27576;28115;30982,,
250610 Fagundes;13175;11867;11395,,
250620 Frei Martinho;2663;2919;2923,,
250625 Gado Bravo;-;8490;8363,,
250630 Guarabira;48537;51257;54960,,
250640 Gurinhém;13115;13153;13838,,
250650 Gurjão;6057;2777;3150,,
250660 Ibiara;6575;6340;6009,,
250260 Igaracy;5754;6307;6134,,
250670 Imaculada;10203;11543;11340,,
250680 Ingá;21688;17470;18116,,
250690 Itabaiana;26383;25008;24447,,
250700 Itaporanga;19727;21030;23108,,
250710 Itapororoca;13416;14611;16982,,
250720 Itatuba;9125;9349;10186,,
250730 Jacaraú;18226;14007;13868,,
250740 Jericó;9439;7396;7518,,
250750 João Pessoa;493249;593141;713870,,
251365 Joca Claudino;-;2561;2607,,
250760 Juarez Távora;7215;7076;7454,,
250770 Juazeirinho;17315;14842;16727,,
250780 Junco do Seridó;5742;5922;6640,,
250790 Juripiranga;9405;9619;10222,,
250800 Juru;10512;9995;9821,,
250810 Lagoa;5747;4843;4681,,
250820 Lagoa de Dentro;7316;7077;7357,,
250830 Lagoa Seca;21510;24111;25844,,
250840 Lastro;3269;3100;2804,,
250850 Livramento;7027;7600;7137,,
250855 Logradouro;-;3389;3935,,
250860 Lucena;7671;9651;11667,,
250870 Mãe d'Água;4714;3458;3999,,
250880 Malta;6004;5659;5575,,
250890 Mamanguape;49763;38655;42154,,
250900 Manaíra;11367;10435;10750,,
250905 Marcação;-;6132;7597,,
250910 Mari;20670;20512;21127,,
250915 Marizópolis;-;5612;6173,,
250920 Massaranduba;12030;11675;12891,,
250930 Mataraca;4986;5494;7364,,
250933 Matinhas;-;4084;4319,,
250937 Mato Grosso;-;2422;2699,,
250939 Maturéia;-;5016;5927,,
250940 Mogeiro;13274;12927;12483,,
250950 Montadas;3828;3966;4965,,
250960 Monte Horebe;4051;4093;4497,,
250970 Monteiro;26971;27576;30739,,
250980 Mulungu;10882;9173;9456,,
250990 Natuba;11608;10544;10562,,
251000 Nazarezinho;7416;7263;7273,,
251010 Nova Floresta;7225;9399;10501,,
251020 Nova Olinda;6195;6457;6056,,
251030 Nova Palmeira;3311;3573;4355,,
251040 Olho d'Água;9095;7831;6902,,
251050 Olivedos;3377;3175;3619,,
251060 Ouro Velho;2826;2794;2924,,
251065 Parari;-;1435;1256,,
251070 Passagem;3444;1979;2230,,
251080 Patos;80792;91499;100051,,
251090 Paulista;10985;11266;11720,,
251100 Pedra Branca;3559;3688;3717,,
251110 Pedra Lavrada;6667;6617;7439,,
251120 Pedras de Fogo;26564;25784;26962,,
251272 Pedro Régis;-;4874;5764,,
251130 Piancó;15923;14820;15391,,
251140 Picuí;18851;17862;18184,,
251150 Pilar;13710;10137;11185,,
251160 Pilões;7880;7792;6940,,
251170 Pilõezinhos;5391;5423;5129,,
251180 Pirpirituba;10579;10197;10319,,
251190 Pitimbu;9415;13662;16915,,
251200 Pocinhos;14495;14831;17007,,
251203 Poço Dantas;-;3820;3747,,
251207 Poço de José de Moura;-;3528;3975,,
251210 Pombal;39417;31801;31988,,
251220 Prata;3310;3400;3826,,
251230 Princesa Isabel;22148;18185;21190,,
251240 Puxinanã;11545;11929;12905,,
251250 Queimadas;32468;35998;41011,,
251260 Quixaba;1655;1308;1671,,
251270 Remígio;17139;14852;17517,,
251274 Riachão;-;2788;3266,,
251275 Riachão do Bacamarte;-;3941;4260,,
251276 Riachão do Poço;-;3640;4162,,
251278 Riacho de Santo Antônio;-;1312;1713,,
251280 Riacho dos Cavalos;9441;8061;8310,,
251290 Rio Tinto;27057;22225;22925,,
251300 Salgadinho;2710;2810;3498,,
251310 Salgado de São Félix;12447;11967;11888,,
251315 Santa Cecília;-;6862;6641,,
251320 Santa Cruz;7404;6460;6437,,
251330 Santa Helena;6124;6166;5363,,
251335 Santa Inês;-;3533;3525,,
251340 Santa Luzia;13007;13919;14658,,
251370 Santa Rita;94269;115543;119833,,
251380 Santa Teresinha;4883;4717;4579,,
251350 Santana de Mangueira;6497;5698;5322,,
251360 Santana dos Garrotes;8057;7879;7250,,
251385 Santo André;-;2800;2628,,
251392 São Bentinho;-;3589;4132,,
251390 São Bento;21528;26141;30781,,
251396 São Domingos;-;2496;2841,,
251394 São Domingos do Cariri;-;2189;2418,,
251398 São Francisco;-;3463;3359,,
251400 São João do Cariri;7536;4694;4331,,
250070 São João do Rio do Peixe;21497;17637;18131,,
251410 São João do Tigre;4146;4454;4388,,
251420 São José da Lagoa Tapada;7626;7111;7554,,
251430 São José de Caiana;5329;5730;5983,,
251440 São José de Espinharas;5989;5073;4732,,
251450 São José de Piranhas;17596;17863;19033,,
251455 São José de Princesa;-;4970;4207,,
251460 São José do Bonfim;2786;2837;3232,,
251465 São José do Brejo do Cruz;-;1529;1682,,
251470 São José do Sabugi;3997;3898;3999,,
251480 São José dos Cordeiros;6160;4124;3977,,
251445 São José dos Ramos;-;4885;5508,,
251490 São Mamede;8508;8017;7733,,
251500 São Miguel de Taipu;4203;5985;6670,,
251510 São Sebastião de Lagoa de Roça;8766;10011;11023,,
251520 São Sebastião do Umbuzeiro;4441;2839;3228,,
251540 São Vicente do Seridó;7870;9099;10207,,
251530 Sapé;58466;47157;49957,,
251550 Serra Branca;13565;12240;12927,,
251560 Serra da Raiz;3703;3372;3196,,
251570 Serra Grande;2595;2842;2974,,
251580 Serra Redonda;7263;7257;7044,,
251590 Serraria;9546;6605;6195,,
251593 Sertãozinho;-;3439;4386,,
251597 Sobrado;-;6862;7356,,
251600 Solânea;32699;30402;26580,,
251610 Soledade;11154;12035;13695,,
251615 Sossêgo;-;2591;3168,,
251620 Sousa;78458;62118;65296,,
251630 Sumé;17154;14962;15987,,
251640 Tacima;10400;9364;10253,,
251650 Taperoá;15175;13277;14897,,
251660 Tavares;14313;13559;14083,,
251670 Teixeira;17503;11930;14070,,
251675 Tenório;-;2458;2812,,
251680 Triunfo;10603;9029;9196,,
251690 Uiraúna;20076;13616;14507,,
251700 Umbuzeiro;17287;9192;9276,,
251710 Várzea;2198;2051;2502,,
251720 Vieirópolis;-;4668;5040,,
250550 Vista Serrana;3043;3114;3493,,
251740 Zabelê;-;1830;2069,,
260005 Abreu e Lima;76655;88709;93876,,
260010 Afogados da Ingazeira;29524;32753;34965,,
260020 Afrânio;13290;14868;17535,,
260030 Agrestina;17857;19986;22642,,
260040 Água Preta;36445;28374;32408,,
260050 Águas Belas;38294;36529;39938,,
260060 Alagoinha;11037;12524;13753,,
260070 Aliança;37380;36810;37375,,
260080 Altinho;23120;22060;22281,,
260090 Amaraji;19389;21230;21878,,
260100 Angelim;8732;9063;10193,,
260105 Araçoiaba;-;15072;18034,,
260110 Araripina;60353;70704;77041,,
260120 Arcoverde;55545;61115;68004,,
260130 Barra de Guabiraba;10500;10859;12766,,
260140 Barreiros;40314;38791;39645,,
260150 Belém de Maria;12064;10341;11187,,
260160 Belém do São Francisco;22807;20032;20143,,
260170 Belo Jardim;60582;68505;72223,,
260180 Betânia;11216;11254;11960,,
260190 Bezerros;52027;57229;58547,,
260200 Bodocó;28408;31507;34972,,
260210 Bom Conselho;41108;41927;45306,,
260220 Bom Jardim;36771;36817;37783,,
260230 Bonito;35013;37648;37384,,
260240 Brejão;8659;8909;8829,,
260250 Brejinho;7403;7243;7297,,
260260 Brejo da Madre de Deus;31141;37966;45073,,
260270 Buenos Aires;12461;11925;12527,,
260280 Buíque;38100;43735;51820,,
260290 Cabo de Santo Agostinho;126771;152099;184237,,
260300 Cabrobó;23866;26616;30742,,
260310 Cachoeirinha;15728;16921;18790,,
260320 Caetés;20605;23939;26518,,
260330 Calçado;9381;11617;11063,,
260340 Calumbi;6871;7029;5627,,
260345 Camaragibe;98893;127157;143605,,
260350 Camocim de São Félix;13780;15012;17019,,
260360 Camutanga;7480;7723;8155,,
260370 Canhotinho;24322;24372;23518,,
260380 Capoeiras;19549;19520;19468,,
260390 Carnaíba;25914;17648;18555,,
260392 Carnaubeira da Penha;-;10202;11765,,
260400 Carpina;65941;63618;74628,,
260410 Caruaru;213071;252724;312980,,
260415 Casinhas;-;13312;13757,,
260420 Catende;31298;31102;37155,,
260430 Cedro;8986;9532;10765,,
260440 Chã de Alegria;10890;11056;12384,,
260450 Chã Grande;15422;18298;20115,,
260460 Condado;18386;21702;24002,,
260470 Correntes;16208;16872;17218,,
260480 Cortês;12385;12562;12327,,
260490 Cumaru;17946;27223;17140,,
260500 Cupira;22665;22369;23303,,
260510 Custódia;28825;29927;33802,,
260515 Dormentes;-;14399;16882,,
260520 Escada;55543;56927;63381,,
260530 Exu;31875;32233;31561,,
260540 Feira Nova;18443;18823;20544,,
260545 Fernando de Noronha;1351;1929;2112,,
260550 Ferreiros;10900;10625;11402,,
260560 Flores;21730;20767;22096,,
260570 Floresta;32137;24631;29182,,
260580 Frei Miguelinho;14094;12942;14261,,
260590 Gameleira;19513;23937;27789,,
260600 Garanhuns;103005;117219;128679,,
260610 Glória do Goitá;26773;27517;28978,,
260620 Goiana;64011;70879;75466,,
260630 Granito;5939;6079;6796,,
260640 Gravatá;61226;66870;76066,,
260650 Iati;18539;17570;18310,,
260660 Ibimirim;28025;24256;26840,,
260670 Ibirajuba;7541;7414;7503,,
260680 Igarassu;79195;80878;101626,,
260690 Iguaracy;11192;11467;11763,,
260760 Ilha de Itamaracá;10030;14033;18155,,
260700 Inajá;22838;13205;19007,,
260710 Ingazeira;4418;4534;4461,,
260720 Ipojuca;45267;58751;80279,,
260730 Ipubi;21197;22809;27988,,
260740 Itacuruba;3200;3648;4364,,
260750 Itaíba;27097;25922;26176,,
260765 Itambé;34127;34927;35343,,
260770 Itapetim;15650;14681;13838,,
260775 Itapissuma;16348;20008;22824,,
260780 Itaquitinga;14005;14925;15671,,
260790 Jaboatão dos Guararapes;485440;577201;642881,,
260795 Jaqueira;-;11604;11447,,
260800 Jataúba;14412;14587;15787,,
260805 Jatobá;-;13132;13918,,
260810 João Alfredo;27384;26990;30708,,
260820 Joaquim Nabuco;15626;15810;15759,,
260825 Jucati;-;9691;10582,,
260830 Jupi;19843;12264;13672,,
260840 Jurema;12635;13673;14476,,
260850 Lagoa de Itaenga;16504;20136;20628,,
260845 Lagoa do Carro;-;13047;15970,,
260860 Lagoa do Ouro;11364;10963;12054,,
260870 Lagoa dos Gatos;16736;16007;15590,,
260875 Lagoa Grande;-;17944;22692,,
260880 Lajedo;29646;32171;36469,,
260890 Limoeiro;54764;56236;54076,,
260900 Macaparana;20831;22449;23865,,
260910 Machados;9001;9786;13572,,
260915 Manari;-;12907;18060,,
260920 Maraial;21450;13876;11887,,
260930 Mirandiba;12811;13075;14233,,
261430 Moreilândia;11861;11073;11079,,
260940 Moreno;39066;48897;56546,,
260950 Nazaré da Mata;26401;29016;30663,,
260960 Olinda;340014;366342;376445,,
260970 Orobó;20867;22424;22810,,
260980 Orocó;10702;10596;13126,,
260990 Ouricuri;73349;56420;64139,,
261000 Palmares;57507;55212;58507,,
261010 Palmeirina;8288;9441;8166,,
261020 Panelas;26640;25756;25566,,
261030 Paranatama;11354;10288;10957,,
261040 Parnamirim;18657;19153;20146,,
261050 Passira;29085;28972;28575,,
261060 Paudalho;39358;45028;51186,,
261070 Paulista;210444;260531;299712,,
261080 Pedra;19471;20175;20839,,
261090 Pesqueira;57358;57402;62271,,
261100 Petrolândia;32645;26822;32347,,
261110 Petrolina;174137;215738;291863,,
261120 Poção;9539;11125;11210,,
261130 Pombos;21241;23033;23935,,
261140 Primavera;10847;11463;13228,,
261150 Quipapá;21092;21979;23954,,
261153 Quixaba;-;6851;6738,,
261160 Recife;1290291;1413130;1523318,,
261170 Riacho das Almas;17925;17948;19115,,
261180 Ribeirão;40906;41078;44317,,
261190 Rio Formoso;33743;20541;22129,,
261200 Sairé;11103;13525;11199,,
261210 Salgadinho;5907;7077;9264,,
261220 Salgueiro;47135;51232;55928,,
261230 Saloá;14801;14980;15249,,
261240 Sanharó;14989;15688;21922,,
261245 Santa Cruz;-;11138;13580,,
261247 Santa Cruz da Baixa Verde;-;10832;11734,,
261250 Santa Cruz do Capibaribe;38270;58748;87038,,
261255 Santa Filomena;-;11865;13341,,
261260 Santa Maria da Boa Vista;41687;35149;39376,,
261270 Santa Maria do Cambucá;11386;11699;12976,,
261280 Santa Terezinha;9577;10193;10973,,
261290 São Benedito do Sul;9873;10466;13882,,
261300 São Bento do Una;42066;45225;53121,,
261310 São Caitano;29527;33385;35098,,
261320 São João;18864;19654;21277,,
261330 São Joaquim do Monte;17175;19658;20421,,
261340 São José da Coroa Grande;11452;13648;18095,,
261350 São José do Belmonte;30964;31531;32561,,
261360 São José do Egito;28654;29384;31704,,
261370 São Lourenço da Mata;85128;90134;102769,,
261380 São Vicente Ferrer;14145;15899;16971,,
261390 Serra Talhada;72195;70760;78981,,
261400 Serrita;18933;17774;18289,,
261410 Sertânia;31411;31358;33699,,
261420 Sirinhaém;33084;32653;39818,,
261440 Solidão;5758;5526;5732,,
261450 Surubim;67374;50209;58380,,
261460 Tabira;22627;24000;26361,,
261470 Tacaimbó;11571;12892;12706,,
261480 Tacaratu;17323;16587;21910,,
261485 Tamandaré;-;17039;20660,,
261500 Taquaritinga do Norte;17074;19599;24764,,
261510 Terezinha;6788;6295;6719,,
261520 Terra Nova;6666;7414;9250,,
261530 Timbaúba;57134;56747;53617,,
261540 Toritama;14860;21631;35437,,
261550 Tracunhaém;11908;12126;13051,,
261560 Trindade;18782;21579;26068,,
261570 Triunfo;27572;15089;14937,,
261580 Tupanatinga;19137;20769;24352,,
261590 Tuparetama;7090;7672;7890,,
261600 Venturosa;12048;13364;15991,,
261610 Verdejante;8120;8819;9105,,
261618 Vertente do Lério;-;8525;7870,,
261620 Vertentes;14211;14281;18165,,
261630 Vicência;28003;28653;30569,,
261640 Vitória de Santo Antão;106316;116902;129288,,
261650 Xexéu;-;13481;14041,,
270010 Água Branca;26499;18505;19326,,
270020 Anadia;16287;17817;17392,,
270030 Arapiraca;163984;184994;212808,,
270040 Atalaia;38439;40030;43535,,
270050 Barra de Santo Antônio;14272;10751;14093,,
270060 Barra de São Miguel;4850;6299;7406,,
270070 Batalha;12895;14444;16751,,
270080 Belém;5909;5886;4533,,
270090 Belo Monte;7015;6706;7003,,
270100 Boca da Mata;22132;24130;25723,,
270110 Branquinha;8298;10924;9929,,
270120 Cacimbinhas;13713;9491;10142,,
270130 Cajueiro;18582;18878;20055,,
270135 Campestre;-;6111;6490,,
270140 Campo Alegre;36438;40884;50604,,
270150 Campo Grande;10005;9053;9023,,
270160 Canapi;18611;17326;17190,,
270170 Capela;18713;18599;16661,,
270180 Carneiros;5687;6585;8139,,
270190 Chã Preta;8149;7707;7087,,
270200 Coité do Nóia;9780;11928;10904,,
270210 Colônia Leopoldina;16244;17412;19987,,
270220 Coqueiro Seco;4773;5108;5515,,
270230 Coruripe;49007;48566;51762,,
270235 Craíbas;17729;20420;22329,,
270240 Delmiro Gouveia;41075;42757;47828,,
270250 Dois Riachos;9939;10954;10859,,
270255 Estrela de Alagoas;-;16190;17218,,
270260 Feira Grande;18910;20928;21201,,
270270 Feliz Deserto;3433;3726;4330,,
270280 Flexeiras;12017;11437;12288,,
270290 Girau do Ponciano;27777;28844;36169,,
270300 Ibateguara;15612;14895;15134,,
270310 Igaci;25943;25439;25097,,
270320 Igreja Nova;19785;21389;23242,,
270330 Inhapi;14788;17651;17730,,
270340 Jacaré dos Homens;4692;5495;5356,,
270350 Jacuípe;7429;7198;6936,,
270360 Japaratinga;7077;6810;7652,,
270370 Jaramataia;4370;5728;5488,,
270375 Jequiá da Praia;-;-;11864,,
270380 Joaquim Gomes;24175;21239;22279,,
270390 Jundiá;14902;4593;4170,,
270400 Junqueiro;22109;23704;23772,,
270410 Lagoa da Canoa;15880;19786;18176,,
270420 Limoeiro de Anadia;19325;24191;26844,,
270430 Maceió;621484;786208;925472,,
270440 Major Isidoro;17253;17547;18777,,
270490 Mar Vermelho;3919;4043;3621,,
270450 Maragogi;16312;21599;28607,,
270460 Maravilha;11347;13326;10249,,
270470 Marechal Deodoro;24680;35281;45505,,
270480 Maribondo;14942;15101;13567,,
270500 Mata Grande;26389;24981;24640,,
270510 Matriz de Camaragibe;21092;23854;23718,,
270520 Messias;10554;11728;15427,,
270530 Minador do Negrão;9310;5347;5262,,
270540 Monteirópolis;6104;7187;6917,,
270550 Murici;28351;24164;24768,,
270560 Novo Lino;14494;10140;12031,,
270570 Olho d'Água das Flores;15635;19360;20266,,
270580 Olho d'Água do Casado;6283;6713;8399,,
270590 Olho d'Água Grande;4400;4795;4942,,
270600 Olivença;10123;10278;11007,,
270610 Ouro Branco;9297;10047;10849,,
270620 Palestina;3606;4436;5092,,
270630 Palmeira dos Índios;76944;67791;70013,,
270640 Pão de Açúcar;21443;24269;23768,,
270642 Pariconha;-;9992;10248,,
270644 Paripueira;-;7998;11269,,
270650 Passo de Camaragibe;13976;13622;14716,,
270660 Paulo Jacinto;7087;7485;7401,,
270670 Penedo;51960;56637;60073,,
270680 Piaçabuçu;16757;16635;17168,,
270690 Pilar;29181;31121;33252,,
270700 Pindoba;3748;2900;2847,,
270710 Piranhas;14304;19950;22812,,
270720 Poço das Trincheiras;11435;13156;13778,,
270730 Porto Calvo;22502;23738;25598,,
270740 Porto de Pedras;9615;9967;8320,,
270750 Porto Real do Colégio;17489;18231;19264,,
270760 Quebrangulo;11270;11684;11396,,
270770 Rio Largo;53653;62191;67592,,
270780 Roteiro;7348;6963;6627,,
270790 Santa Luzia do Norte;5740;6245;6873,,
270800 Santana do Ipanema;35948;41327;44747,,
270810 Santana do Mundaú;11995;11459;10804,,
270820 São Brás;6309;6536;6681,,
270830 São José da Laje;21875;21024;22472,,
270840 São José da Tapera;27356;27447;30008,,
270850 São Luís do Quitunde;31187;29053;32343,,
270860 São Miguel dos Campos;50269;51021;53946,,
270870 São Miguel dos Milagres;4885;5740;7022,,
270880 São Sebastião;24486;28963;31867,,
270890 Satuba;9069;12515;14598,,
270895 Senador Rui Palmeira;9404;11905;12959,,
270900 Tanque d'Arca;7701;6556;6113,,
270910 Taquarana;16809;17011;18897,,
270915 Teotônio Vilela;29597;36576;41021,,
270920 Traipu;22617;23322;25541,,
270930 União dos Palmares;56489;57487;59440,,
270940 Viçosa;23525;25804;25048,,
280010 Amparo de São Francisco;1891;2162;2269,,
280020 Aquidabã;16275;18293;19989,,
280030 Aracaju;400461;459556;565749,,
280040 Arauá;10404;9686;10849,,
280050 Areia Branca;10405;14598;16401,,
280060 Barra dos Coqueiros;12585;17503;24888,,
280067 Boquim;22911;24082;25473,,
280070 Brejo Grande;6684;6973;7689,,
280100 Campo do Brito;13400;15121;16705,,
280110 Canhoba;3858;3936;3942,,
280120 Canindé de São Francisco;11454;17541;24199,,
280130 Capela;25058;26262;30481,,
280140 Carira;15410;17664;19864,,
280150 Carmópolis;6714;9336;13338,,
280160 Cedro de São João;5117;5297;5607,,
280170 Cristinápolis;10839;14208;16484,,
280190 Cumbe;3325;3636;3807,,
280200 Divina Pastora;2625;3227;4287,,
280210 Estância;53742;58645;64139,,
280220 Feira Nova;4407;5045;5307,,
280230 Frei Paulo;10275;11922;13805,,
280240 Gararu;10187;11241;11308,,
280250 General Maynard;2111;2382;2928,,
280260 Gracho Cardoso;5172;5477;5602,,
280270 Ilha das Flores;7080;8153;8347,,
280280 Indiaroba;11566;12890;15802,,
280290 Itabaiana;64734;76516;86634,,
280300 Itabaianinha;30851;35351;38797,,
280310 Itabi;4813;5163;4931,,
280320 Itaporanga d'Ajuda;20200;25144;30261,,
280330 Japaratuba;12854;14456;16390,,
280340 Japoatã;10544;12644;12928,,
280350 Lagarto;71971;82435;94515,,
280360 Laranjeiras;18936;23518;26876,,
280370 Macambira;4953;5687;6394,,
280380 Malhada dos Bois;2531;3208;3444,,
280390 Malhador;9969;11383;12027,,
280400 Maruim;14644;15340;16307,,
280410 Moita Bonita;9232;10668;10955,,
280420 Monte Alegre de Sergipe;9578;11391;13566,,
280430 Muribeca;6673;7083;7340,,
280440 Neópolis;21286;18386;18416,,
280445 Nossa Senhora Aparecida;8578;8264;8490,,
280450 Nossa Senhora da Glória;23375;26470;32160,,
280460 Nossa Senhora das Dores;19598;22106;24519,,
280470 Nossa Senhora de Lourdes;4650;6011;6232,,
280480 Nossa Senhora do Socorro;66914;130358;160441,,
280490 Pacatuba;11492;11318;13115,,
280500 Pedra Mole;2138;2600;2961,,
280510 Pedrinhas;7180;7881;8786,,
280520 Pinhão;4430;5218;5961,,
280530 Pirambu;4817;7174;8331,,
280540 Poço Redondo;20104;25161;30672,,
280550 Poço Verde;17614;19920;21920,,
280560 Porto da Folha;23462;25547;27027,,
280570 Propriá;24780;26943;28242,,
280580 Riachão do Dantas;16973;19131;19345,,
280590 Riachuelo;7383;8330;9229,,
280600 Ribeirópolis;13950;15266;17055,,
280610 Rosário do Catete;5610;7026;9117,,
280620 Salgado;16680;18811;19329,,
280630 Santa Luzia do Itanhy;9872;13741;12930,,
280650 Santa Rosa de Lima;3358;3482;3746,,
280640 Santana do São Francisco;-;6084;7013,,
280660 Santo Amaro das Brotas;10489;10541;11330,,
280670 São Cristóvão;47395;64015;78464,,
280680 São Domingos;7745;9210;10232,,
280690 São Francisco;2222;2519;3380,,
280700 São Miguel do Aleixo;3126;3426;3663,,
280710 Simão Dias;32139;36626;38521,,
280720 Siriri;6288;6898;7976,,
280730 Telha;2205;2552;2952,,
280740 Tobias Barreto;37472;42695;47721,,
280750 Tomar do Geru;11261;12766;12833,,
280760 Umbaúba;14439;18893;22288,,
290010 Abaíra;8716;9039;8299,,
290020 Abaré;11404;13602;16986,,
290030 Acajutiba;12839;14235;14579,,
290035 Adustina;13696;14210;15658,,
290040 Água Fria;14071;14686;15647,,
290060 Aiquara;6609;5287;4571,,
290070 Alagoinhas;116436;129634;141264,,
290080 Alcobaça;15290;20683;21084,,
290090 Almadina;9972;7717;6307,,
290100 Amargosa;27935;31004;34141,,
290110 Amélia Rodrigues;22605;24057;25109,,
290115 América Dourada;15799;15799;15918,,
290120 Anagé;41526;30908;25473,,
290130 Andaraí;14234;13813;13908,,
290135 Andorinha;17009;15677;14386,,
290140 Angical;16024;14608;14038,,
290150 Anguera;7849;8781;10181,,
290160 Antas;17016;13845;16927,,
290170 Antônio Cardoso;11289;11572;11532,,
290180 Antônio Gonçalves;14071;9686;10991,,
290190 Aporá;15719;16714;17675,,
290195 Apuarema;7611;7310;7399,,
290205 Araças;8906;10969;11468,,
290200 Aracatu;15437;15449;13731,,
290210 Araci;45272;47294;51482,,
290220 Aramari;7636;9234;10000,,
290225 Arataca;13570;11076;10345,,
290230 Aratuípe;7809;8355;8564,,
290240 Aurelino Leal;15694;17082;13577,,
290250 Baianópolis;13749;12145;13796,,
290260 Baixa Grande;21626;20282;19983,,
290265 Banzaê;11472;11098;11796,,
290270 Barra;39078;43855;49098,,
290280 Barra da Estiva;17172;24326;21123,,
290290 Barra do Choça;24804;40523;34742,,
290300 Barra do Mendes;14427;13592;13944,,
290310 Barra do Rocha;9661;8035;6255,,
290320 Barreiras;91359;130522;136680,,
290323 Barro Alto;12019;12054;13566,,
290330 Barro Preto;10515;8509;6443,,
290327 Barrocas;-;-;14154,,
290340 Belmonte;21973;19703;21566,,
290350 Belo Campo;14270;17541;15949,,
290360 Biritinga;14414;14554;14791,,
290370 Boa Nova;13483;20463;15366,,
